,1,5,5,3,2003-12-23
,1,6,5,3,2007-12-23
,5,13,5,4,2009-12-23
,7,5,4,3,2014-12-23
,7,4,2,5,2013-12-23
,11,4,4,5,2012-12-23
,13,6,5,2,2014-12-23
,13,1,5,4,2007-12-23
,7,3,2,3,2008-12-23
,5,9,5,3,2008-12-23
,1,10,2,4,2008-12-23
,3,1,5,4,2008-10-23
,3,2,3,4,2008-10-29
,3,3,4,4,2008-10-15
,3,4,3,4,2008-10-24
,3,5,2,4,2008-10-06
,3,6,5,4,2008-10-11
,3,7,4,4,2008-10-28
,3,8,4,4,2008-10-14
,3,9,3,4,2008-10-02
,3,10,5,4,2008-10-13
,3,11,4,4,2008-11-13
,14,1,3,4,2008-10-23
,14,2,4,4,2008-10-29
,14,3,5,4,2008-10-15
,14,4,3,4,2008-10-24
,14,5,3,4,2008-10-06
,14,6,4,4,2008-10-11
,14,7,4,4,2008-10-28
,14,8,4,4,2008-10-14
,14,9,4,4,2008-10-02
,14,10,3,4,2008-10-13
,3,12,3,4,2008-11-29
,3,13,5,4,2008-11-15
,3,14,4,4,2008-11-24
,3,15,5,4,2008-11-06
,3,16,1,4,2008-11-11
,3,17,3,4,2008-11-28
,3,18,2,4,2008-11-14
,3,19,4,4,2008-11-02
,3,20,4,4,2008-11-13
,3,01,4,4,2008-11-23
,9,06,3,5,2009-05-20
,9,15,4,5,2009-03-06
,9,13,5,5,2010-06-20
,5,13,5,5,2008-11-23
